no loop for PHI

#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
stdin_input_raw|  5.02e+06  |2687723435|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|  20|   1000000|     100|0.86930957|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.74006042|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.94924514|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.15266555|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.95964413|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.97056217|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.78638887|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.56828204|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.08941053|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.58899408|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.55900692|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.86573589|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.97130753|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.24238710|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.50631406|  PASSED  
             dab_dct| 256|     50000|       1|0.28317232|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.27096630|  PASSED  
        dab_filltree|  32|  15000000|       1|0.04016046|  PASSED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.77644192|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.14017328|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.84712309|  PASSED  
